cap,p,served,served_rate,abandon_ratio,seat_wait_mean,seat_effective_util,seat_effective_util_w2,seat_idle_pre_util,seat_turnover_per_hour,spill_ratio,food_wait_mean,served_ci,served_rate_ci,abandon_ratio_ci,seat_wait_mean_ci,seat_effective_util_ci,seat_effective_util_w2_ci,seat_idle_pre_util_ci,seat_turnover_per_hour_ci,spill_ratio_ci,food_wait_mean_ci
15.0,0.4,992.7083333333334,0.8474387586616743,0.15256124133832571,9.2599778576014,0.760258045306994,0.5131649369485352,0.03864464647321696,3.3090277777777772,0.03583438849529437,0.9380398543033076,4.733083977408183,0.008824605205175404,0.008824605205175404,0.14716034044477766,0.0034376539266355354,0.002530184535152971,0.0025872921981499324,0.015776946591360624,0.0028604758607879643,0.11937688674075933
15.0,0.8,996.0416666666666,0.8502848713648374,0.14971512863516248,9.35896371584195,0.7640770596187224,0.5148899091705871,0.040820365432730536,3.320138888888889,0.03135538497610469,0.0593866708100442,4.497860025252374,0.008742978771710269,0.008742978771710269,0.1403670255409016,0.0032110177368325915,0.0024694991253738233,0.00041770964264684453,0.014992866750841265,0.002314360461236652,0.007723244467615232
25.0,0.0,1172.0833333333333,1.0,0.0,8.73803316981183,0.8356007331488945,0.6053895270453286,0.0,3.9069444444444446,0.15142457878740004,4.225002356630841,11.923333333333336,0.0,0.0,0.28626327852135564,0.0022266404238665033,0.0063385493849980965,0.0,0.0397444444444444,0.009133857460961998,0.24043856630173926
25.0,0.2,1153.1666666666667,0.9841710503817112,0.015828949618288787,11.868280253421348,0.806837360684514,0.5957427628039743,0.03899707074372767,3.843888888888889,0.16884276807221968,2.65406849054374,6.964375047824701,0.006092786311104495,0.006092786311104494,0.3679794107024042,0.0032619190450338285,0.0037035491718650304,0.0025481838442165303,0.023214583492748988,0.0065995860363557025,0.17699486463570255
25.0,0.4,1124.9583333333333,0.9602739422451045,0.03972605775489544,12.850302033692527,0.8094711068827071,0.5814299076088404,0.04148878285907964,3.749861111111111,0.13962150615433747,0.9974315850912117,4.966976439615033,0.00876647360364083,0.008766473603640834,0.28985838412660964,0.003157238091312971,0.0029782555802947705,0.0026499500730911385,0.016556588132050104,0.0050925165361295184,0.12611308369271793
25.0,0.8,1126.75,0.9618187677103371,0.03818123228966293,13.094270477837538,0.8171021637603942,0.582223403369979,0.0459465840472543,3.7558333333333334,0.13081118331656022,0.05485155674462581,4.505235762461529,0.008859913826587058,0.008859913826587058,0.2640050511352418,0.0020139851327475593,0.0026839109210242454,0.0004479677628739485,0.015017452541538454,0.004015195399168364,0.0070756160218317
999.0,0.0,1172.0833333333333,1.0,0.0,8.73803316981183,0.8356007331488945,0.6053895270453286,0.0,3.9069444444444446,0.15142457878740004,4.225002356630841,11.923333333333336,0.0,0.0,0.28626327852135564,0.0022266404238665033,0.0063385493849980965,0.0,0.0397444444444444,0.009133857460961998,0.24043856630173926
999.0,0.2,1172.0833333333333,1.0,0.0,12.022577305492382,0.8068590336535064,0.6053895270453286,0.038971439007463776,3.9069444444444446,0.18470652253212094,2.6815758014594095,11.923333333333336,0.0,0.0,0.42981907485321375,0.00326680757318268,0.006338549384998131,0.0025512172274613117,0.0397444444444444,0.010985045499923279,0.1841432092876888
999.0,0.4,1172.0833333333333,1.0,0.0,13.48321508677279,0.8106773001275945,0.6053895270453288,0.04172356769603199,3.9069444444444446,0.17945673345130397,1.020461076027181,11.923333333333336,0.0,0.0,0.450060378434562,0.003240576684445723,0.006338549384998125,0.002594181804350306,0.0397444444444444,0.010666736496427008,0.1319292099483235
999.0,0.8,1172.0833333333333,1.0,0.0,13.803143679543524,0.8187852963270785,0.6053895270453287,0.04705767698763621,3.9069444444444446,0.16909589563016203,0.05364354623479165,11.923333333333336,0.0,0.0,0.43811315824824243,0.002100559923515169,0.006338549384998114,0.0004944286387474409,0.0397444444444444,0.009122424141230425,0.006821354799102763
