load_scale,peak_rate,p,seat_effective_util,seat_turnover_per_hour,abandon_ratio,seat_wait_mean,food_wait_mean,seat_idle_pre_util
0.9,21.6,0.5,0.6984459465293412,3.022666666666667,0.005881973189949569,5.908607548709324,0.0916960433278984,0.02347216294826746
0.9,21.6,0.6,0.6981013534989455,3.0213333333333336,0.006298206280480266,5.978254053025991,0.06450747169398466,0.027675182034129903
0.9,21.6,0.7,0.6977469633134142,3.0200000000000005,0.006716627767911755,6.040696577889453,0.05151571516511559,0.0320806822454129
0.9,21.6,0.8,0.6976740957981673,3.0200000000000005,0.006716627767911755,6.106399471364285,0.046413146457900546,0.03657427064186153
0.9,21.6,0.9,0.6972238383645624,3.0183333333333335,0.007240201726426315,6.159946764531466,0.03733902152765798,0.04109215620297256
0.9,21.6,1.0,0.697025565376933,3.017666666666667,0.00744941247014206,6.216622362567854,0.034437167166209134,0.04545933429565
0.95,22.799999999999997,0.0,0.7393630942461652,3.203666666666666,0.0031952430506228327,5.73751644618441,1.2833316158914778,0.0
0.95,22.799999999999997,0.1,0.7355629753096904,3.187333333333333,0.008104428349822699,6.240399840673416,1.0003118733815346,0.008338701267127456
0.95,22.799999999999997,0.2,0.7312780295100744,3.167,0.014279850181811776,6.558260409098503,0.7007189608873372,0.013928931202934342
0.95,22.799999999999997,0.3,0.7277280784804543,3.151,0.019139450590010598,6.8080041317971505,0.3861579843641517,0.018063543668567994
0.95,22.799999999999997,0.4,0.7270348309940654,3.1479999999999997,0.020072848043605717,6.944541599180115,0.19611263115386443,0.02112150914164112
0.95,22.799999999999997,0.5,0.7268410504974747,3.147333333333333,0.02028063375693877,7.0336894215983765,0.1161849829356116,0.025083881053464187
0.95,22.799999999999997,0.6,0.7260309451867296,3.144,0.021305797518392327,7.0948644696751515,0.07695591370876957,0.029164275237804814
0.95,22.799999999999997,0.7,0.7254969589587736,3.1420000000000003,0.02192669609561681,7.1516912594041795,0.05989540655260235,0.03359497025319634
0.95,22.799999999999997,0.8,0.72453607059782,3.1380000000000003,0.02314834450781387,7.205061569811247,0.04747992458465302,0.03811553911481367
0.95,22.799999999999997,0.9,0.7233956902942439,3.1333333333333333,0.024577974565085283,7.244655558572063,0.03759587733959379,0.04266611651697927
0.95,22.799999999999997,1.0,0.7225334610972562,3.13,0.025618649527950205,7.286913786360337,0.03426408262641498,0.04713562853465256
1.0,24.0,0.0,0.7671818739348135,3.3393333333333337,0.01097896650362302,6.455166475365533,1.8284318487498339,0.0
1.0,24.0,0.1,0.7568900673015262,3.2916666666666665,0.024900140171753606,7.016220564288335,1.4533365018885787,0.010602185877776449
1.0,24.0,0.2,0.7479496961084935,3.2483333333333335,0.0376024862597254,7.328944827225202,1.0427582925057377,0.01724709341493174
1.0,24.0,0.3,0.7416758532086414,3.2186666666666666,0.046233865566903926,7.564424066865117,0.6046139311896205,0.021342337803211507
1.0,24.0,0.4,0.7397378751861095,3.2093333333333334,0.04899871621563455,7.6853969073143364,0.3108623424875321,0.023451757303367134
1.0,24.0,0.5,0.7392967649843392,3.2069999999999994,0.04970209779504018,7.7642155292588155,0.14637421020478047,0.02616129740692702
1.0,24.0,0.6,0.7387993173226307,3.2049999999999996,0.05027253096937806,7.817266949273763,0.08393345622933449,0.029788060657557052
1.0,24.0,0.7,0.7377366630953959,3.200333333333334,0.05165978580553454,7.861430145460128,0.0628244146486783,0.0342341539151159
1.0,24.0,0.8,0.7366175060107778,3.195666666666667,0.05303283481430014,7.902570695034619,0.05001372699593305,0.038804513916509534
1.0,24.0,0.9,0.7351745127593464,3.1896666666666667,0.05479467053916722,7.9365689500112735,0.03578917403373967,0.043301585382794966
1.0,24.0,1.0,0.7338296527625207,3.184333333333333,0.05637778524462485,7.969604276406767,0.03353751712936047,0.0479169010316973
1.05,25.200000000000003,0.0,0.7868752104509367,3.439,0.03131227979171467,7.092833956040492,2.469081225210078,0.0
1.05,25.200000000000003,0.1,0.7737218637253938,3.3786666666666667,0.048166596952449486,7.719419078822334,1.9786788667226016,0.01362659626357129
1.05,25.200000000000003,0.2,0.7605664911020898,3.312,0.06682617481441197,8.014061428996069,1.4315375859232427,0.0216290730432707
1.05,25.200000000000003,0.3,0.751885137084936,3.2670000000000003,0.07938167583753583,8.23439326861126,0.8429588381853106,0.025649823651826643
1.05,25.200000000000003,0.4,0.7512655251164463,3.2630000000000003,0.08050499882731878,8.363083674194659,0.43787548974477286,0.02643509420178356
1.05,25.200000000000003,0.5,0.7509056653546101,3.260666666666667,0.0811543910250219,8.423166084433827,0.20401611932973912,0.02782576031887571
1.05,25.200000000000003,0.6,0.750723044286201,3.2596666666666665,0.08145782618492126,8.47015034346976,0.10589923042148552,0.030869089566568995
1.05,25.200000000000003,0.7,0.7499059980767144,3.2566666666666664,0.08229469677565175,8.510120896351173,0.07118220688342568,0.0350804164465779
1.05,25.200000000000003,0.8,0.7486664390181385,3.2513333333333336,0.0837951102028626,8.54534036684581,0.05461863326594868,0.03966618444372082
1.05,25.200000000000003,0.9,0.7474755014997317,3.2463333333333333,0.08520550453097409,8.576772899672621,0.037010870036243634,0.04406210015328267
1.05,25.200000000000003,1.0,0.7458593651373362,3.239666666666667,0.08708743653527518,8.602634398330924,0.036002984483549244,0.048882070985220925
1.1,26.400000000000002,0.0,0.8046610182345104,3.5439999999999996,0.04909211692368691,7.588535994153277,3.1871944796621587,0.0
1.1,26.400000000000002,0.1,0.7851101600134618,3.4466666666666668,0.07505730092094752,8.248805168838416,2.6051945922344713,0.017620205006404238
1.1,26.400000000000002,0.2,0.7725792113112697,3.381333333333333,0.09242712263719186,8.582737850244255,1.9446093193488447,0.027860087732591
1.1,26.400000000000002,0.3,0.7608548135005806,3.3163333333333336,0.10974653525958944,8.793801914839971,1.195579414544438,0.03166759118594
